000   "NIU (not in universe)"
010   "Agriculture, fishing, and forestry"
020   "Mining"
030   "Manufacturing"
040   "Electricity, gas and water"
050   "Construction"
060   "Wholesale and retail trade"
070   "Hotels and restaurants"
080   "Transportation, storage and communications"
090   "Financial services and insurance"
100   "Public administration and defense"
110   "Services, not specified"
111   "Real estate and business services"
112   "Education"
113   "Health and social work"
114   "Other services"
120   "Private household services"
130   "Other industry, n.e.c."
998   "Response suppressed"
999   "Unknown"
